,Name,Address,City,Zip Code,Risk Score,Rating,Number of Ratings
0,In-N-Out Burger,7009 Sunset Blvd,Hollywood,90029,0.0016083530205014400,4.5,13157
1,In-N-Out Burger,9149 S Sepulveda Blvd,Los Angeles,90045,0.943954790764972,4.6,12757
2,In-N-Out Burger,13850 Francisquito Ave,Baldwin Park,91706,0.8317567555230170,4.7,5792
3,In-N-Out Burger,799 E Spring St,Signal Hill,90755,0.10157995839867500,4.7,5434
4,In-N-Out Burger,6000 Pacific Blvd,Huntington Park,90255,0.5609687649196510,4.6,6513
5,In-N-Out Burger,9245 Venice Blvd,Los Angeles,90034,0.8587202947065840,4.5,5697
6,In-N-Out Burger,922 Gayley Ave,Los Angeles,90024,0.4154084832887970,4.5,3995
7,In-N-Out Burger,3640 Cahuenga Blvd,Los Angeles,91602,0.14189589791311200,4.6,4451
8,In-N-Out Burger,2114 E Foothill Blvd,Pasadena,91107,0.9379943904895360,4.6,2828
9,In-N-Out Burger,13425 Washington Blvd,Marina Del Rey,90292,0.3341291101627610,4.5,6035
10,In-N-Out Burger,2200 S Central Ave,Compton,90220,0.8286503335985630,4.6,1566
11,In-N-Out Burger,14341 Firestone Blvd,La Mirada,90638,0.3565014652519890,4.7,3987
12,In-N-Out Burger,7930 Van Nuys Blvd,Panorama City,91402,0.1215347210893510,4.6,3039
13,In-N-Out Burger,5864 Lankershim Blvd,North Hollywood,91601,0.4623624632502130,4.6,2653
14,In-N-Out Burger,594 W 19th St,Costa Mesa,92627,0.8632450497219630,4.6,2491
15,In-N-Out Burger,13651 Roscoe Blvd,Panorama City,91402,0.3199735619960750,4.6,2227
16,In-N-Out Burger,1701 Artesia Blvd,Gardena,90504,0.6112466271414470,4.6,3633
17,In-N-Out Burger,4601 Firestone Blvd,South Gate,90280,0.51005536496369,4.7,5221
18,In-N-Out Burger,3411 W Century Blvd,Inglewood,90301,0.11047993576975300,4.6,6438
19,In-N-Out Burger,761 N 1st St,Burbank,91502,0.918363366216684,4.6,3338
